id,time_created,month,create_time,view_count,like_count,share_count,comment_count,voice_to_text,hashtag_names,video_description,cleaned_video_description,tokens,Dominant_Topic,topic_Keywords,Topic_Perc_Contrib
7095668797629091078,2022-05-09 09:38:57,2022-05-01,1652089137,35160,649,83,30,,['fvd'],Hoe drink jij je koffie? #fvd,Hoe drink jij je koffie,"['drink', 'koffie']",3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.7656
7096474455496527110,2022-05-11 13:45:17,2022-05-01,1652276717,100400,3412,2443,69,,"['lingo', 'wordle', 'fvd']",Lingo in de Kamer met Gideon en Lucille #fvd #lingo #wordle,Lingo in de Kamer met Gideon en Lucille,"['lingo', 'kamer', 'gideon', 'lucille']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.8661
7096842670135315717,2022-05-12 13:34:09,2022-05-01,1652362449,39658,1096,80,68,,[],Walgelijke Karteltruc. Een klap in het gezicht van de slachtoffers,Walgelijke Karteltruc Een klap in het gezicht van de slachtoffers,"['walgelijke', 'karteltruc', 'klap', 'gezicht', 'slachtoffers']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.8893
7097545245537209605,2022-05-14 11:00:31,2022-05-01,1652526031,464696,27576,3542,531,,"['fvd', 'sigmagrindset']",Sigma regels 101 #fvd #sigmagrindset,Sigma regels,"['sigma', 'regels']",1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.7661
7097890303373233413,2022-05-15 09:19:31,2022-05-01,1652606371,20702,389,47,17,,['fvd'],Debat over de hondenbelasting neemt een rare wending #fvd,Debat over de hondenbelasting neemt een rare wending,"['debat', 'hondenbelasting', 'neemt', 'rare', 'wending']",3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.8891
7098592345779719430,2022-05-17 06:43:50,2022-05-01,1652769830,364609,28192,3800,424,,"['foryou', 'fyp', 'fvd', 'thierrybaudet']",Wanneer een vriend een slechte grap maakt #fvd #thierrybaudet #fyp #foryou,Wanneer een vriend een slechte grap maakt,"['vriend', 'slechte', 'grap', 'maakt']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.8638
7099013209771887878,2022-05-18 09:57:00,2022-05-01,1652867820,5170,213,43,6,,"['fyp', 'fvd', 'thierrybaudet']",Hij is niet neergestort #fvd #fyp #thierrybaudet,Hij is niet neergestort,['neergestort'],5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.6227
7099047000712154373,2022-05-18 12:08:05,2022-05-01,1652875685,70897,1919,184,69,,"['fvd', 'thierrybaudet']","Bijna gelukt, volgende keer beter! #fvd #thierrybaudet",Bijna gelukt volgende keer beter,"['bijna', 'gelukt', 'volgende', 'keer', 'beter']",1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.8893
7099321059622522117,2022-05-19 05:51:37,2022-05-01,1652939497,28179,635,30,12,,"['fyp', 'fvd', 'forumvoordemocratie', 'thierrybaudet', 'stemfvd']",Wanneer het debat al 10 uur duurt… #fvd  #thierrybaudet #stemfvd #forumvoordemocratie #fyp,Wanneer het debat al uur duurt,"['debat', 'uur', 'duurt']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.8352
7099402989491784965,2022-05-19 11:09:31,2022-05-01,1652958571,231445,6658,1481,71,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']",Tja… #fvd #forumvoordemocratie #thierrybaudet,Tja,['tja'],1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.6281
7099424394656763141,2022-05-19 12:32:35,2022-05-01,1652963555,18861,468,75,106,,"['fvd', 'rutte', 'forumvoordemocratie', 'thierrybaudet']",Geloven jullie Rutte nog? #fvd #thierrybaudet #forumvoordemocratie #rutte,Geloven jullie Rutte nog,"['geloven', 'rutte']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.7667
7100200817369648389,2022-05-21 14:45:29,2022-05-01,1653144329,25603,1274,256,49,,"['fvd', 'thierrybaudet', 'sigmagrindset', 'sigmarule']",Sigma regel 101: negeer ALLE coronaregels #fvd #sigmagrindset #sigmarule #thierrybaudet,Sigma regel negeer ALLE coronaregels,"['sigma', 'regel', 'negeer', 'coronaregels']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.8658
7100817087257464069,2022-05-23 06:37:01,2022-05-01,1653287821,22603,1046,120,83,,[],Weten we het nog? De leugens van Rutte en De Jonge,Weten we het nog De leugens van Rutte en De Jonge,"['weten', 'leugens', 'rutte', 'jonge']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.8661
7101308162933787910,2022-05-24 14:22:33,2022-05-01,1653402153,10166,513,18,29,,[],Let je op Hugo?,Let je op Hugo,"['let', 'hugo']",1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.7661
7101607692208213253,2022-05-25 09:44:54,2022-05-01,1653471894,35887,703,70,33,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']","Hahaha, geloof jij de NPO nog? #fvd #thierrybaudet #forumvoordemocratie",Hahaha geloof jij de NPO nog,"['hahaha', 'geloof', 'npo']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.8269
7102072116702498054,2022-05-26 15:47:04,2022-05-01,1653580024,21018,1007,143,90,,"['thuglife', 'fyp', 'fvd', 'foryoupage', 'thierrybaudet']",Hahaha #thuglife #thierrybaudet #fvd #fyp #foryoupage,Hahaha,['hahaha'],3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.6273
7102072116702498054,2022-05-26 15:47:04,2022-05-01,1653580024,21018,1007,143,90,,"['thuglife', 'fyp', 'fvd', 'foryoupage', 'thierrybaudet']",Hahaha #thuglife #thierrybaudet #fvd #fyp #foryoupage,Hahaha,['hahaha'],3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.6273
7103515114183101701,2022-05-30 13:06:38,2022-05-01,1653915998,11464,396,17,11,,"['fyp', 'fvd', 'klimaat', 'forumvoordemocratie', 'thierrybaudet']",Expectations vs reality … #fvd #thierrybaudet #fyp #forumvoordemocratie #klimaat,Expectations vs reality,"['expectation', 'v', 'reality']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.839
7106398032018640134,2022-06-07 07:33:57,2022-06-01,1654587237,73162,3028,895,72,,"['fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",iedereen kent wel die persoon #fvd #thierrybaudet #forumvoordemocratie #fyp #foryoupage,iedereen kent wel die persoon,"['iedereen', 'kent', 'persoon']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.5592
7106789610818129158,2022-06-08 08:53:26,2022-06-01,1654678406,22397,578,8,3,,"['fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",wie kan er nog meer geen drank schenken 😂 #fvd #thierrybaudet #forumvoordemocratie #foryoupage #fyp,wie kan er nog meer geen drank schenken,"['drank', 'schenken']",3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.7656
7107208035084340485,2022-06-09 11:57:06,2022-06-01,1654775826,6486,289,48,8,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']",zo lief ❤️ #fvd #thierrybaudet #forumvoordemocratie,zo lief,['lief'],0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.6409
7107607580460977414,2022-06-10 13:47:32,2022-06-01,1654868852,6189,284,9,4,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']",Stikstofcrisis is een bureaucratisch probleem #fvd #thierrybaudet #forumvoordemocratie,Stikstofcrisis is een bureaucratisch probleem,"['stikstofcrisis', 'bureaucratisch', 'probleem']",1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.8294
7108997292413209861,2022-06-14 07:40:25,2022-06-01,1655192425,353572,10362,1091,639,,"['fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Onder het kartel is Nederland volledig uitgehold.. #fvd #thierrybaudet #forumvoordemocratie #fyp #foryoupage,Onder het kartel is Nederland volledig uitgehold,"['kartel', 'nederland', 'volledig', 'uitgehold']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.8658
7109396915392941317,2022-06-15 09:31:08,2022-06-01,1655285468,18547,556,14,8,,"['fyp', 'fvd', 'feminisme', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Wat vind jij? Slaan we door? #fvd #thierrybaudet #forumvoordemocratie #feminisme #fyp #foryoupage,Wat vind jij Slaan we door,"['vind', 'slaan']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.4083
7109396915392941317,2022-06-15 09:31:08,2022-06-01,1655285468,18547,556,14,8,,"['fyp', 'fvd', 'feminisme', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Wat vind jij? Slaan we door? #fvd #thierrybaudet #forumvoordemocratie #feminisme #fyp #foryoupage,Wat vind jij Slaan we door,"['vind', 'slaan']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.4083
7109745147042090245,2022-06-16 08:02:28,2022-06-01,1655366548,121504,3361,486,153,,"['eu', 'fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Kan Rutte ook eens vooruitdenken? #fvd #forumvoordemocratie #thierrybaudet #eu #fyp #foryoupage,Kan Rutte ook eens vooruitdenken,"['rutte', 'eens', 'vooruitdenken']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.8299
7110124708691070214,2022-06-17 08:35:21,2022-06-01,1655454921,14247,293,6,5,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']",Hahaha #fvd #thierrybaudet #forumvoordemocratie,Hahaha,['hahaha'],3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.6273
7111299802310135045,2022-06-20 12:35:13,2022-06-01,1655728513,32868,821,258,128,,"['fyp', 'markrutte', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Wat zat hij er toch waanzinnig naast… #fvd #thierrybaudet #markrutte #forumvoordemocratie #fyp #foryoupage,Wat zat hij er toch waanzinnig naast,"['zat', 'waanzinnig', 'naast']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.8269
7111686122371058950,2022-06-21 13:34:22,2022-06-01,1655818462,25595,504,68,13,,"['fyp', 'fvd', 'foryoupage', 'thierrybaudet', 'forumvdemocratie']",herkenbaar 😂 #fvd #thierrybaudet #forumvdemocratie #fyp #foryoupage,herkenbaar,['herkenbaar'],8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.6491
7112065585122462981,2022-06-22 14:06:52,2022-06-01,1655906812,53856,1747,169,232,,"['fyp', 'eurotop', 'fvd', 'forumvoordemocratie', 'thierrybaudet']",Dat is het beste voor Nederland! #fyp #fvd #thierrybaudet #forumvoordemocratie #eurotop,Dat is het beste voor Nederland,"['beste', 'nederland']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.7662
7113881937713876229,2022-06-27 11:35:18,2022-06-01,1656329718,27814,966,21,93,,"['fyp', 'fvd', 'woning', 'foryoupage', 'forumvoordemocratie']",Dit is hoe een volksvertegenwoordiger hoort te zijn! #fvd #forumvoordemocratie #fyp #foryoupage #woning,Dit is hoe een volksvertegenwoordiger hoort te zijn,"['volksvertegenwoordiger', 'hoort']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.7667
7115010875861388550,2022-06-30 12:36:07,2022-06-01,1656592567,19679,618,36,43,,"['fvd', 'forumvoordemocratie', 'digitalidentity']","WEF-onzin, zoals we dat van ze kennen 😂 #fvd #forumvoordemocratie #digitalidentity",WEFonzin zoals we dat van ze kennen,"['wefonzin', 'zoals', 'kennen']",6,"nederlandse, immigratie, land, wordt, bevolking, minder, ten, mark, rutte, ziet",0.8271
7117658575115193605,2022-07-07 15:50:31,2022-07-01,1657209031,51847,1442,179,118,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']",Huh? Wat gebeurde hier 😂 #fvd #thierrybaudet #forumvoordemocratie,Huh Wat gebeurde hier,"['huh', 'gebeurde', 'hier']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.8294
7132841789425323270,2022-08-17 13:49:09,2022-08-01,1660744149,19874,1273,72,93,,"['fyp', 'fvd', 'forumvoordemocratie', 'thierrybaudet']",Onze beschaving staat op de rand van de afgrond… #fvd #thierrybaudet #fyp #forumvoordemocratie,Onze beschaving staat op de rand van de afgrond,"['beschaving', 'staat', 'rand', 'afgrond']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.8733
7134998286703873286,2022-08-23 09:17:32,2022-08-01,1661246252,304636,9783,1992,389,,"['fyp', 'fvd', 'foryoupage', 'thierrybaudet']",Baudet rekent af met de gespeelde verontwaardiging van het kartel #FVD #thierrybaudet #fyp #foryoupage,Baudet rekent af met de gespeelde verontwaardiging van het kartel,"['baudet', 'rekent', 'gespeelde', 'verontwaardiging', 'kartel']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.7175
7138052535427878150,2022-08-31 14:49:32,2022-08-01,1661957372,5064,137,16,7,,"['fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'linkseindoctrinatie']",Inmiddels zijn onze instituties doordrenkt met marxisme. Merk jij het ook op school? 👇🏼#fvd #forumvoordemocratie #linkseindoctrinatie #fyp #foryoupage ,Inmiddels zijn onze instituties doordrenkt met marxisme Merk jij het ook op school,"['instituties', 'doordrenkt', 'marxisme', 'merk', 'school']",4,"vind, open, beweging, zien, grenzen, worden, vrijheid, ledenaantallen, fvdnlwordlid, paar",0.8868
7140229074542267654,2022-09-06 11:35:37,2022-09-01,1662464137,215407,5452,698,482,,"['fyp', 'energie', 'fvd', 'foryoupage', 'forumvoordemocratie', 'energierekening']",Freek Jansen over de hoge energieprijzen.. #fvd #energie #energierekening #forumvoordemocratie #foryoupage #fyp ,Freek Jansen over de hoge energieprijzen,"['freek', 'jansen', 'hoge', 'energieprijzen']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.8638
7140935364277013765,2022-09-08 09:16:29,2022-09-01,1662628589,30202,1514,108,121,,"['fyp', 'renaissance', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet']",Frederik Jansen is on fire! #fvd #forumvoordemocratie #thierrybaudet #fyp #foryoupage #renaissance ,Frederik Jansen is on fire,"['frederik', 'jansen', 'on', 'fire']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.8733
7143141947794869509,2022-09-14 07:59:07,2022-09-01,1663142347,7918,224,5,23,,"['fvd', 'forumvoordemocratie', 'thierrybaudet']","En als je een pensioen opbouwt, is het door de inflatie toch niets meer waard #fvd #thierrybaudet #forumvoordemocratie ",En als je een pensioen opbouwt is het door de inflatie toch niets meer waard,"['pensioen', 'opbouwt', 'inflatie', 'niets', 'waard']",6,"nederlandse, immigratie, land, wordt, bevolking, minder, ten, mark, rutte, ziet",0.8878
7143516175568325893,2022-09-15 08:11:18,2022-09-01,1663229478,63418,1697,456,108,,"['woke', 'fyp', 'fvd', 'foryoupage', 'forumvoordemocratie']",Koerswijziging! 😂😂😂 #fvd #forumvoordemocratie #fyp #foryoupage #woke,Koerswijziging,['koerswijziging'],8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.6491
7143904085169720581,2022-09-16 09:16:34,2022-09-01,1663319794,68453,2180,187,192,,"['viral', 'trends', 'fyp', 'baudet', 'fvd', 'rutte', 'inflatie', 'forumvoordemocratie', 'thierrybaudet']",Het leven onder Rutte wordt ALSMAAR duurder #fvd #inflatie #rutte #thierrybaudet #forumvoordemocratie #baudet #fyp #viral #trends,Het leven onder Rutte wordt ALSMAAR duurder,"['leven', 'rutte', 'wordt', 'alsmaar', 'duurder']",2,"nederland, democratie, leven, stem, saman, ky, kartel, dichtreguleren, stoppen, referendum",0.3625
7144580821494566150,2022-09-18 05:03:07,2022-09-01,1663477387,49385,1546,207,54,,"['sigma', 'bateman', 'fvd', 'sigmabeauty', 'thierrybaudet', 'thierrybaudaddy', 'sigmarules', 'MONICAATEST']",Echte man #fvd #thierrybaudet #thierrybaudaddy #sigma #sigmarules #bateman #sigmabeauty#MONICAATEST ,Echte man,"['echte', 'man']",3,"wordt, overheid, tijd, who, duurder, nexit, debat, zinloze, hahaha, echte",0.7656
7145701080649764101,2022-09-21 05:30:02,2022-09-01,1663738202,5600,225,22,14,,"['morning', 'coffee', 'viral', 'fyp', 'baudet', 'fvd', 'foryoupagd', 'forumvoordemocratie', 'thierrybaudet', 'thierrybaudetmemes']",😎 #fvd #forumvoordemocratie #thierrybaudet #thierrybaudetmemes #baudet #coffee #morning #viral #fyp #foryoupagd,,[],8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.1444
7145762425680235782,2022-09-21 09:27:55,2022-09-01,1663752475,217612,8898,1526,378,,"['fyp', 'energie', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet', 'gasrekening']",Thierry is ON FIRE! #fvd #forumvoordemocratie #thierrybaudet #fyp #foryoupage #energie #gasrekening ,Thierry is ON FIRE,"['thierry', 'on', 'fire']",4,"vind, open, beweging, zien, grenzen, worden, vrijheid, ledenaantallen, fvdnlwordlid, paar",0.5549
7145911584060116229,2022-09-21 19:06:40,2022-09-01,1663787200,37389,1513,161,228,,"['fvd', 'politiek', 'forumvoordemocratie', 'thierrybaudet']",@Thierry Baudet spreekt pure waarheid en laat daarmee heel het kabinet wegrennen! #politiek #thierrybaudet #fvd #forumvoordemocratie ,Thierry Baudet spreekt pure waarheid en laat daarmee heel het kabinet wegrennen,"['thierry', 'baudet', 'spreekt', 'pure', 'waarheid', 'laat', 'daarmee', 'heel', 'kabinet', 'wegrennen']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.7561
7146129205359578373,2022-09-22 09:11:15,2022-09-01,1663837875,29014,1021,43,103,,"['corona', 'apb', 'tweedekamer', 'lavendel', 'fvd', 'politiek', 'forumvoordemocratie', 'thierrybaudet', 'algemenebeschouwingen', 'MONICAATEST', 'thierrybaudetmemes']","Ga maar na. Oorlog tegen corona, tegen klimaatverandering, tegen ongewenste meningen en tegen het traditionele Europese leven. #fvd #forumvoordemocratie #thierrybaudet #thierrybaudetmemes #corona #apb #algemenebeschouwingen #politiek #lavendel #tweedekamer #MONICAATEST ",Ga maar na Oorlog tegen corona tegen klimaatverandering tegen ongewenste meningen en tegen het traditionele Europese leven,"['ga', 'oorlog', 'tegen', 'corona', 'tegen', 'klimaatverandering', 'tegen', 'ongewenste', 'meningen', 'tegen', 'traditionele', 'europese', 'leven']",8,"tegen, europese, ga, oorlog, gaan, straks, willen, wist, gaat, oekrane",0.9566
7146203535523335430,2022-09-22 13:59:36,2022-09-01,1663855176,34725,1642,244,101,,"['viral', 'fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet', 'thierrybaudetmemes']",Zie daar maar eens omheen te draaien 😂 #fvd #forumvoordemocratie #thierrybaudet #thierrybaudetmemes #viral #fyp #foryoupage,Zie daar maar eens omheen te draaien,"['zie', 'eens', 'omheen', 'draaien']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.8661
7147672402925767942,2022-09-26 12:59:33,2022-09-01,1664197173,3719,84,2,0,,"['sigma', 'viral', 'chad', 'fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'sigmamale', 'sigmamoves']","Hoe Ralf zijn vrouw heeft ontmoet, wie is er nog meer een echte…? #fvd #forumvoordemocratie #chad #sigma #sigmamoves #sigmamale #viral #fyp #foryoupage ",Hoe Ralf zijn vrouw heeft ontmoet wie is er nog meer een echte,"['ralf', 'vrouw', 'ontmoet', 'echte']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.6573
7148376760550165765,2022-09-28 10:32:49,2022-09-01,1664361169,46184,1293,284,30,,"['love', 'viral', 'fyp', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet', 'thierrybaudetmemes', 'fvdmemes']",Hoe heb jij je lief voor je gewonnen? #fvd #forumvoordemocratie #thierrybaudet #fvdmemes #thierrybaudetmemes #love #viral #fyp #foryoupage,Hoe heb jij je lief voor je gewonnen,"['lief', 'gewonnen']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.7741
7148718215818906886,2022-09-29 08:37:53,2022-09-01,1664440673,9982,341,5,20,,"['travel', 'fyp', 'transpride', 'fvd', 'foryoupage', 'forumvoordemocratie', 'thierrybaudet', 'thierrybaudetmemes']",Pepijn van Houwelingen over de nieuwe transgenderwet #fvd #forumvoordemocratie #fyp #foryoupage #thierrybaudet #thierrybaudetmemes #travel #transpride ,Pepijn van Houwelingen over de nieuwe transgenderwet,"['pepijn', 'houwelingen', 'nieuwe', 'transgenderwet']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.8703
7148748881898130693,2022-09-29 10:36:53,2022-09-01,1664447813,277484,6631,255,313,,"['meijer', 'fvd', 'forumvoordemocratie', 'gideonvanmeijeren', 'vanmeijeren']","FEITEN: If you can’t stand the heat, get out of the kitchen! #fvd #forumvoordemocratie #gideonvanmeijeren #vanmeijeren #meijer ",FEITEN If you cant stand the heat get out of the kitchen,"['feiten', 'if', 'you', 'cant', 'stand', 'the', 'heat', 'get', 'out', 'the', 'kitchen']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.9453
7149137470775414022,2022-09-30 11:44:47,2022-09-01,1664538287,12011,379,19,30,,"['travel', 'energy', 'viral', 'fyp', 'energie', 'groningen', 'fvd', 'foryoupage', 'forumvoordemocratie']",Wat vind jij? Groningen open? #fvd #forumvoordemocratie #groningen #travel #energie #energy #fyp #foryoupage #viral ,Wat vind jij Groningen open,"['vind', 'groningen', 'open']",4,"vind, open, beweging, zien, grenzen, worden, vrijheid, ledenaantallen, fvdnlwordlid, paar",0.8255
